Client_Organization,Client_ID,Industry,Tier,Total_Requests,Success_Rate_%,Avg_Response_Time_ms,Total_Data_MB,Monthly_Quota,Quota_Used_%,Active_Users,Most_Used_Endpoint,Onboarding_Date,Last_Activity,SLA_Tier,Support_Priority
LVMH Group,CLT-78945,Luxury Retail,Enterprise,156789,98.9,234,2811.87,4036055,3.9,385,/api/a2a/gemini,2025-09-29,2026-02-05 10:00:43,99.95%,P1
Louis Vuitton,CLT-78946,Luxury Fashion,Premium,87456,99.1,221,1377.18,1710181,5.1,262,/api/a2a/gemini,2025-07-18,2026-02-05 19:00:43,99.90%,P2
Dior,CLT-78947,Luxury Fashion,Premium,98234,98.8,228,1418.35,1596922,6.2,287,/api/a2a/brand,2025-09-26,2026-02-03 02:00:43,99.90%,P2
Sephora,CLT-78948,Beauty Retail,Premium,76234,98.6,251,1267.04,1559416,4.9,180,/api/a2a/gemini,2025-09-26,2026-02-05 02:00:43,99.90%,P2
Fendi,CLT-78949,Luxury Fashion,Standard,34892,98.8,246,545.71,856334,4.1,83,/api/a2a/brand,2026-01-19,2026-02-04 19:00:43,99.85%,P3
Givenchy,CLT-78950,Luxury Fashion,Standard,21234,98.9,244,359.93,1191203,1.8,53,/api/a2a/brand,2025-08-17,2026-02-03 12:00:43,99.85%,P3
Moët Hennessy,CLT-78951,Luxury Beverages,Standard,38456,99.0,238,651.76,874597,4.4,137,/api/a2a/public,2025-08-14,2026-02-04 02:00:43,99.85%,P3
Bulgari,CLT-78952,Luxury Jewelry,Standard,28456,99.1,241,497.68,1077755,2.6,106,/api/a2a/hushh-profile,2025-07-16,2026-02-05 12:00:43,99.85%,P3
TAG Heuer,CLT-78953,Luxury Watches,Standard,25678,98.7,249,372.78,909975,2.8,57,/api/a2a/brand,2026-01-04,2026-02-04 19:00:43,99.85%,P3
Tiffany & Co,CLT-78954,Luxury Jewelry,Standard,45678,98.9,243,768.65,998695,4.6,109,/api/a2a/hushh-profile,2025-08-28,2026-02-05 05:00:43,99.85%,P3
DFS Group,CLT-78955,Travel Retail,Standard,19456,98.8,247,297.87,748495,2.6,54,/api/a2a/brand,2026-01-01,2026-02-03 17:00:43,99.85%,P3
Kenzo,CLT-78956,Fashion,Starter,16789,98.6,252,279.89,385824,4.4,44,/api/a2a/gemini,2025-10-29,2026-02-04 21:00:43,99.80%,P4
Berluti,CLT-78957,Luxury Menswear,Starter,14234,99.0,239,231.67,241818,5.9,37,/api/a2a/public,2025-09-08,2026-02-03 00:00:43,99.80%,P4
Loewe,CLT-78958,Luxury Fashion,Starter,12456,98.7,248,209.39,315929,3.9,43,/api/a2a/gemini,2025-10-29,2026-02-04 12:00:43,99.80%,P4
Rimowa,CLT-78959,Luxury Luggage,Starter,10892,98.9,242,152.8,173355,6.3,36,/api/a2a/brand,2025-07-08,2026-02-04 14:00:43,99.80%,P4
Hublot,CLT-78960,Luxury Watches,Starter,9234,99.1,237,144.81,333878,2.8,33,/api/a2a/hushh-profile,2025-08-30,2026-02-03 18:00:43,99.80%,P4
Zenith,CLT-78961,Luxury Watches,Starter,7856,98.8,245,116.88,348824,2.3,25,/api/a2a/public,2025-07-07,2026-02-04 17:00:43,99.80%,P4
Celine,CLT-78962,Luxury Fashion,Premium,65432,98.9,235,994.94,1719530,3.8,172,/api/a2a/hushh-profile,2025-10-10,2026-02-03 18:00:43,99.90%,P2
Marc Jacobs,CLT-78963,Fashion,Standard,22345,98.7,248,401.94,777678,2.9,57,/api/a2a/gemini,2025-12-04,2026-02-04 20:00:43,99.85%,P3
Loro Piana,CLT-78964,Luxury Fashion,Standard,18976,99.0,240,317.73,841712,2.3,49,/api/a2a/brand,2025-12-31,2026-02-05 02:00:43,99.85%,P3
Reliance Industries,CLT-78965,Conglomerate,Enterprise,142345,98.7,245,2363.22,4529958,3.1,398,/api/a2a/brand,2025-12-20,2026-02-03 11:00:43,99.95%,P1
Reliance Retail,CLT-78966,Retail,Premium,71892,98.5,256,1014.67,2234303,3.2,162,/api/a2a/public,2025-08-31,2026-02-03 17:00:43,99.90%,P2
Jio Platforms,CLT-78967,Telecommunications,Premium,43234,98.4,267,681.51,1561957,2.8,100,/api/a2a/brand,2025-11-10,2026-02-05 05:00:43,99.90%,P2
Reliance Digital,CLT-78968,Electronics Retail,Standard,23892,98.5,258,362.54,1114071,2.1,58,/api/a2a/public,2025-10-24,2026-02-03 08:00:43,99.85%,P3
Hamleys,CLT-78969,Toy Retail,Standard,31245,98.6,253,491.05,812568,3.8,89,/api/a2a/public,2025-07-09,2026-02-03 02:00:43,99.85%,P3
Reliance Fresh,CLT-78970,Grocery Retail,Standard,29876,98.6,255,502.75,610502,4.9,80,/api/a2a/hushh-profile,2025-08-24,2026-02-04 14:00:43,99.85%,P3
